Category,Product,City,Order Date,Sales,Discount,Profit
Oil & Masala,Edible Oil & Ghee,Cumbum,2018-04-09,2049,0.19,778.62
Bakery,Breads & Buns,Dindigul,2018-04-09,2229,0.1,267.48
Bakery,Cakes,Ramanadhapuram,2018-04-09,1120,0.27,459.2
"Eggs, Meat & Fish",Mutton,Viluppuram,2018-04-09,1481,0.11,88.86
Food Grains,Rice,Ooty,2015-01-16,1398,0.12,139.8
Beverages,Health Drinks,Vellore,2015-01-16,990,0.11,237.6
Oil & Masala,Spices,Madurai,2015-01-16,2152,0.1,430.4
"Eggs, Meat & Fish",Mutton,Perambalur,2015-01-16,1169,0.22,362.39
Food Grains,Organic Staples,Pudukottai,2018-10-05,617,0.3,197.44
Bakery,Cakes,Chennai,2018-10-05,1090,0.21,250.7
Fruits & Veggies,Fresh Vegetables,Madurai,2018-07-09,1205,0.3,494.05
"Eggs, Meat & Fish",Fish,Pudukottai,2018-01-07,758,0.14,303.2
"Eggs, Meat & Fish",Mutton,Dharmapuri,2017-05-30,1074,0.18,118.14
Bakery,Breads & Buns,Viluppuram,2016-12-09,829,0.16,49.74
Snacks,Chocolates,Viluppuram,2017-10-03,618,0.12,148.32
Food Grains,Dals & Pulses,Dharmapuri,2015-11-11,911,0.24,91.1
Oil & Masala,Edible Oil & Ghee,Dindigul,2015-11-11,1722,0.21,154.98
Beverages,Soft Drinks,Chennai,2015-11-11,1660,0.33,315.4
Bakery,Biscuits,Krishnagiri,2018-09-29,2494,0.27,548.68
"Eggs, Meat & Fish",Fish,Perambalur,2018-09-29,2444,0.33,415.48
Snacks,Noodles,Theni,2018-09-29,1175,0.14,70.5
"Eggs, Meat & Fish",Fish,Coimbatore,2016-03-10,1868,0.19,317.56
Oil & Masala,Spices,Salem,2018-05-21,1862,0.14,409.64
Snacks,Chocolates,Cumbum,2018-05-21,869,0.21,243.32
Snacks,Cookies,Viluppuram,2016-03-29,1747,0.12,244.58
Food Grains,Rice,Salem,2017-09-09,1612,0.3,386.88
Bakery,Biscuits,Karur,2017-08-26,2297,0.3,895.83
Beverages,Health Drinks,Ramanadhapuram,2017-08-26,1534,0.11,475.54
Snacks,Cookies,Namakkal,2015-05-21,807,0.11,80.7
Fruits & Veggies,Fresh Vegetables,Theni,2015-05-21,575,0.34,132.25
Snacks,Chocolates,Karur,2016-10-28,1805,0.13,649.8
Oil & Masala,Edible Oil & Ghee,Namakkal,2016-10-28,1700,0.17,459.0
Beverages,Soft Drinks,Pudukottai,2016-10-28,1010,0.32,141.4
Bakery,Breads & Buns,Perambalur,2016-10-28,748,0.23,89.76
Snacks,Cookies,Krishnagiri,2017-11-10,2361,0.1,118.05
Beverages,Health Drinks,Tirunelveli,2018-12-22,672,0.34,275.52
Bakery,Cakes,Madurai,2016-08-07,817,0.12,98.04
Snacks,Chocolates,Coimbatore,2017-10-01,2139,0.17,962.55
"Eggs, Meat & Fish",Fish,Chennai,2017-10-29,2198,0.26,351.68
Snacks,Chocolates,Coimbatore,2018-12-22,2176,0.19,500.48
Oil & Masala,Spices,Perambalur,2015-05-12,905,0.19,108.6
Fruits & Veggies,Fresh Vegetables,Namakkal,2015-12-01,1541,0.23,600.99
Snacks,Cookies,Kanyakumari,2018-08-03,2343,0.34,515.46
Food Grains,Organic Staples,Krishnagiri,2018-09-24,567,0.18,147.42
"Eggs, Meat & Fish",Eggs,Dharmapuri,2018-11-19,1712,0.15,188.32
Snacks,Chocolates,Namakkal,2015-05-05,1756,0.18,684.84
"Eggs, Meat & Fish",Fish,Dharmapuri,2018-06-29,896,0.3,367.36
"Eggs, Meat & Fish",Fish,Bodi,2015-09-20,627,0.35,56.43
Fruits & Veggies,Fresh Vegetables,Viluppuram,2015-12-15,764,0.15,320.88
Oil & Masala,Spices,Tenkasi,2018-05-14,2447,0.24,415.99
Bakery,Breads & Buns,Perambalur,2018-10-24,1178,0.1,200.26
"Eggs, Meat & Fish",Fish,Tirunelveli,2015-11-18,1258,0.23,226.44
Fruits & Veggies,Organic Vegetables,Nagercoil,2017-08-28,1425,0.12,441.75
Beverages,Health Drinks,Tirunelveli,2018-06-29,1889,0.22,774.49
Food Grains,Dals & Pulses,Chennai,2017-03-14,2396,0.3,311.48
Oil & Masala,Spices,Viluppuram,2015-11-18,1396,0.12,237.32
Food Grains,Atta & Flour,Karur,2018-04-26,1792,0.16,680.96
"Eggs, Meat & Fish",Eggs,Dharmapuri,2015-11-18,1305,0.32,404.55
Bakery,Biscuits,Tirunelveli,2016-09-27,1703,0.26,681.2
Beverages,Soft Drinks,Chennai,2017-05-17,2184,0.27,393.12
Food Grains,Atta & Flour,Viluppuram,2018-10-13,721,0.21,129.78
Beverages,Health Drinks,Kanyakumari,2017-10-10,1539,0.1,184.68
Snacks,Noodles,Kanyakumari,2015-06-03,2491,0.3,323.83
Snacks,Cookies,Tirunelveli,2016-06-25,875,0.21,385.0
Snacks,Noodles,Coimbatore,2017-10-17,1177,0.31,411.95
"Eggs, Meat & Fish",Chicken,Ramanadhapuram,2018-07-03,1398,0.3,489.3
Snacks,Chocolates,Perambalur,2015-09-02,1379,0.33,441.28
Oil & Masala,Spices,Virudhunagar,2015-12-01,2222,0.33,688.82
Food Grains,Atta & Flour,Dharmapuri,2018-12-05,1540,0.21,569.8
Beverages,Health Drinks,Chennai,2016-08-09,2273,0.31,909.2
Fruits & Veggies,Fresh Fruits,Dindigul,2015-12-01,1655,0.2,264.8
Snacks,Cookies,Namakkal,2017-12-04,604,0.33,126.84
"Eggs, Meat & Fish",Mutton,Karur,2016-08-09,1123,0.23,505.35
Beverages,Health Drinks,Virudhunagar,2017-05-17,517,0.33,82.72
Fruits & Veggies,Organic Vegetables,Dindigul,2017-03-09,1274,0.23,445.9
"Eggs, Meat & Fish",Chicken,Namakkal,2015-09-10,1414,0.12,622.16
Beverages,Health Drinks,Vellore,2017-02-14,2476,0.19,891.36
Food Grains,Atta & Flour,Tenkasi,2018-04-21,1466,0.35,659.7
Food Grains,Organic Staples,Dindigul,2015-10-14,1807,0.35,704.73
Fruits & Veggies,Fresh Vegetables,Dindigul,2015-07-08,1998,0.16,119.88
Bakery,Cakes,Ooty,2016-06-29,768,0.26,299.52
Food Grains,Atta & Flour,Perambalur,2017-11-14,729,0.25,51.03
Bakery,Biscuits,Salem,2015-09-20,684,0.19,294.12
Snacks,Cookies,Vellore,2015-10-04,842,0.11,370.48
Bakery,Breads & Buns,Karur,2018-03-26,1838,0.14,257.32
Oil & Masala,Spices,Coimbatore,2015-09-20,681,0.28,81.72
Oil & Masala,Edible Oil & Ghee,Karur,2018-11-20,1733,0.25,207.96
Oil & Masala,Masalas,Ooty,2018-02-11,1678,0.32,755.1
"Eggs, Meat & Fish",Eggs,Theni,2017-05-03,1862,0.16,819.28
Beverages,Health Drinks,Pudukottai,2018-12-10,1015,0.22,294.35
Snacks,Cookies,Kanyakumari,2017-09-18,650,0.35,253.5
Beverages,Health Drinks,Coimbatore,2018-04-17,2120,0.25,742.0
Beverages,Health Drinks,Dindigul,2018-09-16,678,0.31,47.46
Bakery,Biscuits,Tirunelveli,2018-12-01,1436,0.33,516.96
Fruits & Veggies,Organic Fruits,Pudukottai,2018-12-10,2464,0.35,837.76
Bakery,Cakes,Virudhunagar,2016-07-11,1268,0.16,63.4
Oil & Masala,Masalas,Krishnagiri,2016-12-15,601,0.22,246.41
Fruits & Veggies,Organic Fruits,Ramanadhapuram,2016-07-11,1482,0.16,548.34
Oil & Masala,Spices,Trichy,2018-09-14,1495,0.18,343.85
Fruits & Veggies,Organic Fruits,Virudhunagar,2018-11-23,1939,0.1,135.73
Fruits & Veggies,Organic Vegetables,Pudukottai,2017-12-30,1948,0.22,642.84
Fruits & Veggies,Organic Vegetables,Dharmapuri,2017-09-18,619,0.31,229.03
Oil & Masala,Masalas,Krishnagiri,2015-10-15,525,0.16,157.5
Bakery,Breads & Buns,Ooty,2018-09-14,784,0.19,266.56
Food Grains,Organic Staples,Karur,2017-02-14,2123,0.15,148.61
"Eggs, Meat & Fish",Mutton,Dindigul,2018-11-30,1656,0.16,629.28
Bakery,Cakes,Vellore,2016-07-11,967,0.29,251.42
Beverages,Health Drinks,Salem,2015-10-21,1137,0.15,466.17
Beverages,Health Drinks,Coimbatore,2016-08-09,1596,0.16,526.68
Oil & Masala,Masalas,Bodi,2018-07-07,722,0.31,259.92
Food Grains,Dals & Pulses,Theni,2017-07-28,1419,0.26,85.14
Oil & Masala,Masalas,Trichy,2018-05-30,900,0.17,405.0
Fruits & Veggies,Fresh Vegetables,Karur,2018-12-02,2097,0.26,880.74
Bakery,Biscuits,Perambalur,2015-04-07,589,0.25,170.81
Bakery,Cakes,Chennai,2017-11-05,1069,0.2,288.63
Beverages,Soft Drinks,Tirunelveli,2018-02-06,1216,0.2,231.04
Food Grains,Atta & Flour,Tenkasi,2017-12-05,859,0.34,180.39
Oil & Masala,Edible Oil & Ghee,Tenkasi,2018-05-30,2301,0.31,161.07
Bakery,Biscuits,Karur,2017-10-22,805,0.27,193.2
"Eggs, Meat & Fish",Fish,Cumbum,2018-10-13,2021,0.23,848.82
Snacks,Cookies,Dindigul,2017-04-08,1364,0.22,95.48
Beverages,Soft Drinks,Namakkal,2017-11-05,1032,0.26,206.4
"Eggs, Meat & Fish",Fish,Salem,2016-04-16,2388,0.35,597.0
Bakery,Cakes,Chennai,2017-12-09,924,0.35,120.12
Fruits & Veggies,Fresh Fruits,Karur,2016-04-16,615,0.35,221.4
Oil & Masala,Masalas,Chennai,2016-11-21,1085,0.14,455.7
Oil & Masala,Edible Oil & Ghee,Theni,2015-09-05,2151,0.34,795.87
"Eggs, Meat & Fish",Mutton,Dharmapuri,2016-11-30,1073,0.33,397.01
Snacks,Chocolates,Pudukottai,2018-05-01,951,0.3,95.1
Food Grains,Rice,Viluppuram,2018-12-10,745,0.15,149.0
Food Grains,Rice,Coimbatore,2018-12-25,1850,0.3,388.5
Beverages,Soft Drinks,Perambalur,2018-11-11,1757,0.32,597.38
"Eggs, Meat & Fish",Chicken,Ramanadhapuram,2017-05-01,2191,0.21,810.67
Oil & Masala,Masalas,Ramanadhapuram,2018-09-29,1532,0.28,337.04
Oil & Masala,Edible Oil & Ghee,Tenkasi,2016-03-13,1423,0.16,156.53
Snacks,Chocolates,Tirunelveli,2018-10-30,1673,0.34,602.28
Fruits & Veggies,Organic Fruits,Kanyakumari,2018-12-08,1108,0.25,409.96
Beverages,Health Drinks,Trichy,2018-09-12,1637,0.33,343.77
Oil & Masala,Masalas,Dharmapuri,2018-10-14,2389,0.35,238.9
Fruits & Veggies,Organic Vegetables,Viluppuram,2018-09-07,566,0.31,249.04
Snacks,Chocolates,Krishnagiri,2018-11-16,1353,0.3,432.96
Beverages,Soft Drinks,Virudhunagar,2015-11-15,2410,0.22,241.0
Fruits & Veggies,Fresh Fruits,Virudhunagar,2015-07-20,1008,0.29,372.96
Beverages,Health Drinks,Ramanadhapuram,2018-04-21,1734,0.2,173.4
Snacks,Cookies,Tirunelveli,2018-08-12,1066,0.3,234.52
Snacks,Cookies,Virudhunagar,2018-08-21,1197,0.12,418.95
Bakery,Cakes,Salem,2015-11-24,758,0.11,90.96
Food Grains,Atta & Flour,Dindigul,2018-05-27,2181,0.12,545.25
"Eggs, Meat & Fish",Eggs,Karur,2018-09-07,1702,0.34,238.28
"Eggs, Meat & Fish",Chicken,Madurai,2017-07-04,2439,0.3,1097.55
"Eggs, Meat & Fish",Fish,Theni,2017-12-03,1226,0.28,294.24
Fruits & Veggies,Organic Vegetables,Bodi,2018-07-31,834,0.11,366.96
Oil & Masala,Spices,Dharmapuri,2017-11-04,1137,0.32,238.77
Fruits & Veggies,Organic Fruits,Kanyakumari,2017-06-17,2102,0.1,210.2
"Eggs, Meat & Fish",Mutton,Karur,2015-01-31,1820,0.23,819.0
Bakery,Biscuits,Nagercoil,2017-07-04,1088,0.27,108.8
Oil & Masala,Masalas,Cumbum,2018-09-29,1555,0.1,279.9
Snacks,Cookies,Coimbatore,2015-03-07,610,0.21,54.9
Snacks,Chocolates,Madurai,2016-10-02,2440,0.12,244.0
"Eggs, Meat & Fish",Mutton,Ooty,2018-08-22,1167,0.17,198.39
Food Grains,Atta & Flour,Kanyakumari,2015-11-23,1234,0.19,74.04
Fruits & Veggies,Fresh Fruits,Kanyakumari,2017-11-03,1389,0.28,555.6
"Eggs, Meat & Fish",Fish,Tirunelveli,2015-10-11,1285,0.17,385.5
Oil & Masala,Masalas,Namakkal,2017-06-20,1239,0.29,322.14
Bakery,Breads & Buns,Dindigul,2018-10-30,1831,0.16,109.86
Beverages,Soft Drinks,Karur,2015-12-20,1605,0.29,497.55
Bakery,Cakes,Cumbum,2015-12-20,2343,0.31,328.02
Oil & Masala,Spices,Ooty,2017-04-12,840,0.21,67.2
Beverages,Soft Drinks,Coimbatore,2018-04-23,2467,0.23,888.12
Snacks,Chocolates,Chennai,2017-06-17,1004,0.23,100.4
Fruits & Veggies,Fresh Fruits,Namakkal,2017-05-05,617,0.18,252.97
Bakery,Cakes,Perambalur,2018-08-21,1652,0.21,710.36
Fruits & Veggies,Fresh Fruits,Coimbatore,2017-10-01,732,0.34,175.68
Fruits & Veggies,Organic Fruits,Bodi,2018-10-01,1231,0.11,110.79
"Eggs, Meat & Fish",Mutton,Salem,2017-06-17,1586,0.18,317.2
Oil & Masala,Masalas,Madurai,2015-11-23,1425,0.12,384.75
Snacks,Chocolates,Chennai,2016-01-27,1018,0.11,274.86
Snacks,Noodles,Trichy,2018-06-16,1810,0.35,307.7
"Eggs, Meat & Fish",Chicken,Virudhunagar,2018-10-30,621,0.33,111.78
Beverages,Health Drinks,Nagercoil,2018-05-05,2300,0.12,805.0
Snacks,Chocolates,Bodi,2015-01-19,1064,0.12,457.52
Fruits & Veggies,Fresh Vegetables,Dindigul,2016-12-17,1298,0.25,64.9
Fruits & Veggies,Fresh Vegetables,Bodi,2016-10-15,613,0.14,275.85
Bakery,Breads & Buns,Viluppuram,2018-10-22,1857,0.31,761.37
Fruits & Veggies,Organic Fruits,Namakkal,2016-12-17,1753,0.13,350.6
"Eggs, Meat & Fish",Eggs,Bodi,2016-12-17,2209,0.13,287.17
"Eggs, Meat & Fish",Eggs,Vellore,2017-12-10,2126,0.24,106.3
Bakery,Breads & Buns,Theni,2018-09-07,1154,0.24,80.78
Bakery,Cakes,Perambalur,2018-09-01,665,0.26,252.7
Bakery,Cakes,Bodi,2016-12-17,2338,0.31,116.9
Snacks,Chocolates,Cumbum,2018-12-11,2253,0.14,292.89
Fruits & Veggies,Organic Vegetables,Trichy,2018-10-30,1082,0.21,194.76
Food Grains,Dals & Pulses,Viluppuram,2016-10-15,1192,0.26,298.0
Beverages,Soft Drinks,Madurai,2017-05-26,1190,0.12,226.1
Fruits & Veggies,Organic Fruits,Coimbatore,2018-12-11,1405,0.29,266.95
Oil & Masala,Masalas,Madurai,2018-10-30,1603,0.2,721.35
Food Grains,Atta & Flour,Chennai,2016-08-25,1996,0.12,658.68
Beverages,Soft Drinks,Coimbatore,2018-12-14,940,0.24,347.8
Fruits & Veggies,Fresh Fruits,Viluppuram,2016-12-01,1621,0.33,713.24
Beverages,Health Drinks,Ooty,2016-08-25,2329,0.33,558.96
Food Grains,Rice,Madurai,2015-02-18,547,0.12,164.1
"Eggs, Meat & Fish",Fish,Vellore,2018-12-14,1821,0.34,327.78
"Eggs, Meat & Fish",Eggs,Karur,2016-10-15,1717,0.29,669.63
Oil & Masala,Masalas,Ooty,2016-11-13,1231,0.23,258.51
Beverages,Health Drinks,Karur,2015-05-04,1055,0.3,94.95
Snacks,Cookies,Tirunelveli,2018-05-25,2274,0.14,977.82
Food Grains,Organic Staples,Dindigul,2017-06-04,683,0.1,293.69
Food Grains,Organic Staples,Chennai,2017-03-17,1365,0.25,163.8
Oil & Masala,Masalas,Ramanadhapuram,2016-09-25,1588,0.29,428.76
Bakery,Cakes,Ramanadhapuram,2016-03-05,1743,0.25,610.05
Beverages,Health Drinks,Dharmapuri,2017-06-04,855,0.23,111.15
Snacks,Noodles,Namakkal,2017-05-14,1073,0.24,107.3
"Eggs, Meat & Fish",Eggs,Trichy,2018-03-16,1940,0.35,232.8
Oil & Masala,Edible Oil & Ghee,Ooty,2016-12-06,1238,0.31,321.88
Fruits & Veggies,Fresh Fruits,Dharmapuri,2017-01-15,2338,0.32,537.74
"Eggs, Meat & Fish",Fish,Madurai,2018-10-12,1919,0.12,594.89
Fruits & Veggies,Organic Fruits,Perambalur,2016-09-07,2008,0.25,301.2
Beverages,Health Drinks,Tirunelveli,2018-06-30,1434,0.27,616.62
Oil & Masala,Spices,Chennai,2016-07-31,1139,0.25,296.14
"Eggs, Meat & Fish",Eggs,Ooty,2015-09-14,1378,0.34,96.46
"Eggs, Meat & Fish",Fish,Perambalur,2015-11-05,2131,0.19,277.03
Bakery,Cakes,Trichy,2018-07-06,1941,0.34,718.17
Bakery,Biscuits,Salem,2017-10-28,1879,0.24,93.95
Bakery,Cakes,Bodi,2017-10-28,1770,0.21,88.5
Snacks,Noodles,Chennai,2017-10-28,613,0.26,49.04
Oil & Masala,Spices,Bodi,2018-10-20,1024,0.18,81.92
Oil & Masala,Edible Oil & Ghee,Coimbatore,2015-07-28,1894,0.24,473.5
Fruits & Veggies,Fresh Vegetables,Cumbum,2015-03-31,723,0.1,65.07
Beverages,Health Drinks,Bodi,2016-08-13,1033,0.15,351.22
Oil & Masala,Masalas,Theni,2017-09-04,2264,0.28,226.4
Oil & Masala,Spices,Ramanadhapuram,2015-09-13,1574,0.13,94.44
Snacks,Chocolates,Cumbum,2017-10-22,2292,0.21,252.12
Food Grains,Atta & Flour,Karur,2018-09-11,560,0.24,50.4
Fruits & Veggies,Fresh Vegetables,Theni,2018-09-24,1229,0.32,405.57
Food Grains,Atta & Flour,Tirunelveli,2016-10-31,2409,0.18,505.89
Fruits & Veggies,Fresh Fruits,Virudhunagar,2016-08-08,2338,0.32,116.9
Snacks,Chocolates,Tirunelveli,2017-09-08,505,0.14,45.45
"Eggs, Meat & Fish",Fish,Madurai,2018-09-11,775,0.1,341.0
"Eggs, Meat & Fish",Chicken,Ramanadhapuram,2018-11-24,1888,0.15,415.36
Oil & Masala,Spices,Trichy,2018-11-24,1170,0.27,362.7
Snacks,Cookies,Salem,2017-04-14,858,0.31,77.22
"Eggs, Meat & Fish",Mutton,Salem,2016-10-31,1335,0.19,307.05
Bakery,Biscuits,Salem,2017-12-11,1088,0.2,446.08
Beverages,Health Drinks,Ooty,2017-03-22,2129,0.13,830.31
Food Grains,Atta & Flour,Krishnagiri,2017-12-11,1120,0.13,56.0
Food Grains,Rice,Nagercoil,2015-02-11,1209,0.14,60.45
Oil & Masala,Spices,Ooty,2017-11-18,2146,0.27,386.28
Beverages,Health Drinks,Viluppuram,2018-01-16,1717,0.28,412.08
"Eggs, Meat & Fish",Mutton,Kanyakumari,2018-01-29,2290,0.17,938.9
"Eggs, Meat & Fish",Fish,Tenkasi,2015-02-11,2333,0.22,839.88
Snacks,Chocolates,Kanyakumari,2015-09-07,2374,0.21,997.08
"Eggs, Meat & Fish",Fish,Krishnagiri,2015-09-07,601,0.25,30.05
"Eggs, Meat & Fish",Mutton,Madurai,2017-10-20,1224,0.27,550.8
Beverages,Health Drinks,Trichy,2016-05-26,764,0.1,114.6
Snacks,Chocolates,Perambalur,2015-08-20,2059,0.15,102.95
Food Grains,Organic Staples,Pudukottai,2015-05-21,2016,0.29,645.12
Snacks,Chocolates,Ooty,2017-06-25,1147,0.27,504.68
Oil & Masala,Edible Oil & Ghee,Vellore,2017-12-01,1973,0.3,848.39
Beverages,Health Drinks,Karur,2015-04-20,2131,0.19,362.27
Snacks,Chocolates,Krishnagiri,2015-10-03,2187,0.22,131.22
"Eggs, Meat & Fish",Mutton,Coimbatore,2018-10-09,842,0.29,303.12
Beverages,Soft Drinks,Perambalur,2016-09-13,1008,0.12,403.2
"Eggs, Meat & Fish",Mutton,Namakkal,2017-12-01,2194,0.29,153.58
Oil & Masala,Edible Oil & Ghee,Vellore,2016-05-26,2061,0.35,886.23
Oil & Masala,Masalas,Dharmapuri,2018-01-02,1846,0.33,406.12
Beverages,Soft Drinks,Chennai,2015-04-20,1030,0.29,257.5
Snacks,Noodles,Ooty,2017-09-10,781,0.1,62.48
Fruits & Veggies,Organic Vegetables,Nagercoil,2016-05-24,751,0.15,127.67
Bakery,Cakes,Dindigul,2016-07-12,1753,0.35,385.66
Fruits & Veggies,Fresh Fruits,Cumbum,2018-05-30,1336,0.26,440.88
Food Grains,Dals & Pulses,Trichy,2016-01-03,1951,0.32,370.69
Snacks,Cookies,Pudukottai,2015-06-07,1857,0.27,501.39
"Eggs, Meat & Fish",Eggs,Tirunelveli,2018-09-08,1211,0.35,72.66
Bakery,Biscuits,Tirunelveli,2016-07-12,1840,0.26,257.6
"Eggs, Meat & Fish",Fish,Namakkal,2016-03-05,1401,0.32,280.2
Bakery,Cakes,Karur,2017-04-28,1238,0.14,544.72
Oil & Masala,Edible Oil & Ghee,Ramanadhapuram,2018-11-19,725,0.29,181.25
Food Grains,Dals & Pulses,Tenkasi,2017-06-25,789,0.25,181.47
Fruits & Veggies,Organic Vegetables,Ooty,2015-10-17,1987,0.32,397.4
Snacks,Noodles,Viluppuram,2018-06-12,598,0.21,47.84
Fruits & Veggies,Fresh Fruits,Kanyakumari,2015-12-06,1074,0.17,193.32
"Eggs, Meat & Fish",Fish,Krishnagiri,2018-12-02,2038,0.21,203.8
"Eggs, Meat & Fish",Mutton,Nagercoil,2018-11-06,856,0.17,316.72
Bakery,Cakes,Trichy,2018-06-04,976,0.17,409.92
"Eggs, Meat & Fish",Mutton,Cumbum,2015-12-16,659,0.28,144.98
Food Grains,Organic Staples,Karur,2016-07-18,1530,0.22,214.2
"Eggs, Meat & Fish",Mutton,Ramanadhapuram,2018-09-22,1224,0.17,97.92
Food Grains,Dals & Pulses,Chennai,2017-03-19,1650,0.34,346.5
Beverages,Health Drinks,Vellore,2017-06-28,1109,0.14,221.8
Snacks,Chocolates,Salem,2017-09-03,929,0.3,325.15
"Eggs, Meat & Fish",Eggs,Tenkasi,2018-03-31,2074,0.3,601.46
Bakery,Breads & Buns,Namakkal,2018-12-08,1774,0.15,212.88
Snacks,Cookies,Virudhunagar,2015-10-31,2062,0.15,144.34
Beverages,Soft Drinks,Madurai,2015-11-25,663,0.23,271.83
Fruits & Veggies,Organic Vegetables,Vellore,2017-09-03,2080,0.17,145.6
Beverages,Soft Drinks,Tirunelveli,2018-09-15,622,0.24,37.32
Fruits & Veggies,Organic Vegetables,Bodi,2016-11-07,2087,0.16,166.96
Snacks,Noodles,Virudhunagar,2018-06-24,1536,0.22,245.76
Bakery,Cakes,Dharmapuri,2018-03-06,767,0.31,222.43
"Eggs, Meat & Fish",Fish,Tenkasi,2016-08-24,1888,0.2,320.96
Bakery,Cakes,Kanyakumari,2015-10-31,1504,0.13,300.8
Fruits & Veggies,Fresh Fruits,Bodi,2017-12-01,809,0.2,137.53
Bakery,Breads & Buns,Viluppuram,2015-09-29,728,0.26,167.44
Food Grains,Dals & Pulses,Ooty,2017-03-19,737,0.18,294.8
Food Grains,Rice,Ramanadhapuram,2015-10-31,1631,0.22,456.68
"Eggs, Meat & Fish",Chicken,Salem,2017-12-01,2036,0.22,101.8
Fruits & Veggies,Organic Vegetables,Dindigul,2018-05-12,1033,0.27,392.54
Oil & Masala,Edible Oil & Ghee,Viluppuram,2018-09-01,832,0.13,158.08
"Eggs, Meat & Fish",Fish,Namakkal,2018-11-26,2397,0.27,1006.74
Oil & Masala,Edible Oil & Ghee,Ramanadhapuram,2018-11-05,1659,0.14,547.47
Bakery,Biscuits,Ramanadhapuram,2018-06-24,959,0.31,402.78
Snacks,Chocolates,Perambalur,2018-11-05,2348,0.24,469.6
Fruits & Veggies,Organic Fruits,Cumbum,2016-12-05,815,0.2,244.5
Fruits & Veggies,Fresh Fruits,Pudukottai,2016-11-01,2417,0.24,314.21
Snacks,Cookies,Dharmapuri,2018-07-15,1628,0.21,374.44
Snacks,Cookies,Dharmapuri,2015-09-12,2083,0.16,770.71
Snacks,Chocolates,Vellore,2016-12-04,2201,0.32,814.37
Food Grains,Organic Staples,Theni,2016-07-13,1203,0.27,168.42
"Eggs, Meat & Fish",Fish,Dindigul,2018-06-25,2250,0.35,922.5
Oil & Masala,Masalas,Coimbatore,2015-12-01,1098,0.17,428.22
Food Grains,Dals & Pulses,Ooty,2018-03-27,1717,0.22,652.46
Snacks,Noodles,Dindigul,2017-08-01,1368,0.16,300.96
Oil & Masala,Masalas,Virudhunagar,2018-01-19,1296,0.22,336.96
Food Grains,Organic Staples,Namakkal,2017-09-06,525,0.31,99.75
"Eggs, Meat & Fish",Mutton,Trichy,2015-05-18,635,0.14,146.05
"Eggs, Meat & Fish",Chicken,Kanyakumari,2015-12-27,2097,0.24,880.74
Fruits & Veggies,Fresh Fruits,Nagercoil,2017-11-14,1505,0.27,346.15
Snacks,Cookies,Viluppuram,2015-09-09,2057,0.17,143.99
"Eggs, Meat & Fish",Mutton,Tenkasi,2018-07-25,1510,0.3,90.6
Fruits & Veggies,Organic Vegetables,Vellore,2018-06-21,583,0.25,180.73
Bakery,Breads & Buns,Namakkal,2015-03-11,1189,0.24,237.8
Fruits & Veggies,Organic Fruits,Kanyakumari,2017-12-19,1569,0.28,156.9
Fruits & Veggies,Fresh Fruits,Nagercoil,2018-07-13,1503,0.1,180.36
Beverages,Soft Drinks,Ramanadhapuram,2017-08-27,2413,0.18,1085.85
Fruits & Veggies,Fresh Fruits,Virudhunagar,2015-10-31,861,0.16,370.23
Beverages,Soft Drinks,Coimbatore,2016-01-27,2334,0.1,490.14
Fruits & Veggies,Organic Fruits,Vellore,2017-11-14,2306,0.19,714.86
Fruits & Veggies,Fresh Vegetables,Trichy,2018-01-19,2314,0.32,647.92
Fruits & Veggies,Organic Vegetables,Salem,2017-12-01,2432,0.34,1094.4
Food Grains,Dals & Pulses,Tenkasi,2015-12-01,2172,0.29,369.24
Beverages,Soft Drinks,Ramanadhapuram,2018-08-17,2228,0.1,111.4
Bakery,Cakes,Perambalur,2016-10-12,1970,0.2,374.3
Snacks,Cookies,Nagercoil,2018-07-25,1510,0.15,377.5
Beverages,Health Drinks,Dindigul,2018-11-05,2250,0.22,495.0
Bakery,Biscuits,Salem,2017-08-12,1206,0.17,373.86
Oil & Masala,Masalas,Cumbum,2017-03-24,959,0.11,143.85
Fruits & Veggies,Fresh Vegetables,Madurai,2015-05-10,1259,0.33,302.16
Oil & Masala,Masalas,Madurai,2018-12-29,1299,0.31,493.62
Beverages,Health Drinks,Bodi,2017-10-27,1508,0.33,316.68
Snacks,Noodles,Krishnagiri,2016-09-06,2041,0.23,816.4
Beverages,Health Drinks,Madurai,2015-04-29,1102,0.28,297.54
Food Grains,Rice,Ramanadhapuram,2018-03-27,1690,0.13,135.2
Bakery,Biscuits,Dindigul,2018-08-06,752,0.21,255.68
Beverages,Health Drinks,Tenkasi,2017-09-23,2393,0.32,454.67
Bakery,Biscuits,Chennai,2018-12-29,955,0.17,429.75
Oil & Masala,Edible Oil & Ghee,Tirunelveli,2018-07-10,1585,0.3,190.2
Oil & Masala,Edible Oil & Ghee,Karur,2016-11-08,526,0.23,152.54
Snacks,Cookies,Pudukottai,2017-12-23,1158,0.34,463.2
Beverages,Health Drinks,Bodi,2017-11-03,1021,0.33,357.35
"Eggs, Meat & Fish",Fish,Karur,2018-12-25,2444,0.23,513.24
Food Grains,Dals & Pulses,Coimbatore,2017-11-03,1656,0.23,165.6
Oil & Masala,Masalas,Madurai,2018-08-06,1710,0.17,376.2
Food Grains,Rice,Kanyakumari,2015-01-13,1497,0.12,164.67
